state,occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate
NM,11-3071,"Transportation, Storage, and Distribution Managers",detailed,65610.0,82320.0,101420.0,120890.0,155370.0,0.02108483096225644
NM,11-3111,Compensation and Benefits Managers,detailed,74040.0,99620.0,124390.0,160410.0,248930.0,0.0224542701424999
NM,11-3121,Human Resources Managers,detailed,78000.0,93580.0,118070.0,157730.0,198230.0,0.023518394741563364
NM,11-3131,Training and Development Managers,detailed,73730.0,101050.0,124290.0,136290.0,176820.0,0.020915945457438356
NM,11-9021,Construction Managers,detailed,71830.0,83470.0,104550.0,131350.0,167440.0,0.022773253686132255
NM,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,83860.0,98970.0,107720.0,129070.0,133580.0,0.008507837075227842
NM,11-9033,"Education Administrators, Postsecondary",detailed,76820.0,84980.0,109480.0,141230.0,178830.0,0.025656191870378597
NM,11-9039,"Education Administrators, All Other",detailed,78290.0,99380.0,113110.0,124280.0,134930.0,0.013025088036040966
NM,11-9041,Architectural and Engineering Managers,detailed,163530.0,208290.0,215120.0,259680.0,268190.0,0.003231677900686236
NM,11-9051,Food Service Managers,detailed,48730.0,58240.0,65210.0,93620.0,108300.0,0.011368174865846736
NM,11-9071,Gambling Managers,detailed,67330.0,77410.0,101260.0,125540.0,138220.0,0.027221464162954234
NM,11-9081,Lodging Managers,detailed,43740.0,50200.0,67320.0,90110.0,93590.0,0.029779018690180514
NM,11-9111,Medical and Health Services Managers,detailed,78520.0,97740.0,124300.0,157780.0,204420.0,0.024329969619973246
NM,11-9131,Postmasters and Mail Superintendents,detailed,60490.0,74340.0,91500.0,100430.0,111130.0,0.020986156925286714
NM,11-9141,"Property, Real Estate, and Community Association Managers",detailed,40720.0,47290.0,62230.0,81380.0,100120.0,0.027834163217847818
NM,11-9151,Social and Community Service Managers,detailed,61810.0,70720.0,81290.0,99790.0,124460.0,0.014026925884243147
NM,11-9161,Emergency Management Directors,detailed,72480.0,97990.0,145550.0,172370.0,202090.0,0.040358560821461165
NM,11-9171,Funeral Home Managers,detailed,58230.0,62790.0,82850.0,105590.0,109570.0,0.028111466780023964
NM,11-9199,"Managers, All Other",detailed,82860.0,101860.0,123550.0,159430.0,204330.0,0.019492200921550573
NM,13-1020,Buyers and Purchasing Agents,detailed,47670.0,59980.0,76740.0,103400.0,127820.0,0.02494729437851939
NM,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,40620.0,48830.0,67930.0,91170.0,101520.0,0.033564273682300305
NM,13-1032,"Insurance Appraisers, Auto Damage",detailed,65280.0,73630.0,78310.0,79190.0,82480.0,0.006181301620192148
NM,13-1041,Compliance Officers,detailed,44550.0,50190.0,67990.0,97160.0,120760.0,0.030819877511177207
NM,13-1051,Cost Estimators,detailed,38960.0,49000.0,67590.0,82990.0,109610.0,0.03268682572869763
NM,13-1071,Human Resources Specialists,detailed,46620.0,56220.0,68050.0,89560.0,117170.0,0.019280530709594013
NM,13-1075,Labor Relations Specialists,detailed,57850.0,75010.0,83770.0,102290.0,135810.0,0.01110657611791166
NM,13-1081,Logisticians,detailed,63190.0,78080.0,98430.0,119740.0,146850.0,0.023431472044660673
NM,13-1082,Project Management Specialists,detailed,63430.0,79460.0,106970.0,155990.0,173000.0,0.03017579979815932
NM,13-1111,Management Analysts,detailed,58890.0,66130.0,93180.0,124690.0,139480.0,0.03488577723751107
