occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate,typical_education
19-1032,Foresters,detailed,50790.0,62710.0,76400.0,91640.0,109700.0,0.0199424224880306,Bachelor's degree
19-1041,Epidemiologists,detailed,61270.0,71090.0,87220.0,112640.0,138800.0,0.0206592052939318,Master's degree
19-1042,"Medical Scientists, Except Epidemiologists",detailed,64800.0,79840.0,103410.0,139380.0,177780.0,0.0262051763645687,Doctoral or professional degree
19-1099,"Life Scientists, All Other",detailed,58670.0,68990.0,93750.0,131910.0,186260.0,0.0311420865329326,Bachelor's degree
19-2011,Astronomers,detailed,78010.0,99920.0,128820.0,166000.0,195190.0,0.0257300690402639,Doctoral or professional degree
19-2012,Physicists,detailed,82110.0,111720.0,172250.0,222760.0,274110.0,0.0442460240116298,Doctoral or professional degree
19-2021,Atmospheric and Space Scientists,detailed,53060.0,73350.0,99070.0,129960.0,161890.0,0.0305147314028948,Bachelor's degree
19-2031,Chemists,detailed,58460.0,69460.0,91240.0,125550.0,160830.0,0.027649581618228,Bachelor's degree
19-2032,Materials Scientists,detailed,66820.0,89990.0,117790.0,150550.0,197290.0,0.0272861122844656,Bachelor's degree
19-2041,"Environmental Scientists and Specialists, Including Health",detailed,52520.0,64490.0,82220.0,107970.0,140010.0,0.0245862175031945,Bachelor's degree
19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,59330.0,75110.0,101920.0,139380.0,200230.0,0.0309940651457629,Bachelor's degree
19-2043,Hydrologists,detailed,64020.0,77210.0,96600.0,122830.0,153130.0,0.0226578523947247,Bachelor's degree
19-2099,"Physical Scientists, All Other",detailed,67000.0,86620.0,122570.0,161890.0,195190.0,0.0353247607035038,Bachelor's degree
19-3011,Economists,detailed,67360.0,89330.0,124720.0,174720.0,238060.0,0.0339365232588118,Master's degree
19-3022,Survey Researchers,detailed,39260.0,51270.0,69460.0,99760.0,130860.0,0.0308302300509888,Master's degree
19-3032,Industrial-Organizational Psychologists,detailed,79010.0,107310.0,193950.0,222280.0,247220.0,0.0609745315978602,Master's degree
19-3033,Clinical and Counseling Psychologists,detailed,55170.0,73210.0,100580.0,135200.0,180960.0,0.0322719406289504,Doctoral or professional degree
19-3034,School Psychologists,detailed,63070.0,77470.0,95990.0,120310.0,142330.0,0.0216667123894165,Master's degree
19-3039,"Psychologists, All Other",detailed,54990.0,68850.0,110840.0,147240.0,168520.0,0.0487675884010001,Master's degree
19-3041,Sociologists,detailed,65160.0,82300.0,106030.0,137420.0,172550.0,0.0256587576314113,Master's degree
19-3051,Urban and Regional Planners,detailed,60010.0,72020.0,89320.0,110030.0,134490.0,0.021761559544992,Master's degree
19-3091,Anthropologists and Archeologists,detailed,49050.0,59400.0,70770.0,89670.0,108060.0,0.0176683666673067,Master's degree
19-3092,Geographers,detailed,66770.0,80290.0,102040.0,121870.0,136660.0,0.0242616190174349,Bachelor's degree
19-3093,Historians,detailed,42730.0,57290.0,76750.0,99990.0,131810.0,0.029674496834031,Master's degree
19-3094,Political Scientists,detailed,83350.0,114030.0,142080.0,174180.0,195190.0,0.0222364966725412,Master's degree
