occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate,typical_education
19-4012,Agricultural Technicians,detailed,43340.0,46710.0,60320.0,63770.0,75230.0,0.0259002757691777,Associate's degree
19-4013,Food Science Technicians,detailed,40790.0,47080.0,54200.0,64100.0,76330.0,0.0141828989335657,Associate's degree
19-4021,Biological Technicians,detailed,46700.0,56200.0,71440.0,93010.0,121670.0,0.0242842929987459,Bachelor's degree
19-4031,Chemical Technicians,detailed,44070.0,49810.0,59510.0,73680.0,88900.0,0.0179520958070977,Associate's degree
19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,37670.0,46990.0,61220.0,83580.0,106840.0,0.0268069227350233,Associate's degree
19-4043,"Geological Technicians, Except Hydrologic Technicians",detailed,45300.0,53610.0,69410.0,83470.0,164670.0,0.0261660062775122,Associate's degree
19-4044,Hydrologic Technicians,detailed,48480.0,55370.0,70790.0,88900.0,104750.0,0.0248722612926295,Associate's degree
19-4051,Nuclear Technicians,detailed,58830.0,94470.0,99270.0,112860.0,115630.0,0.0049684105033509,Associate's degree
19-4061,Social Science Research Assistants,detailed,38060.0,41670.0,60250.0,84990.0,117070.0,0.0375603215583513,Bachelor's degree
19-4071,Forest and Conservation Technicians,detailed,43680.0,48550.0,58120.0,75280.0,91480.0,0.0181543876068268,Associate's degree
19-4092,Forensic Science Technicians,detailed,64650.0,80810.0,102100.0,132810.0,148090.0,0.0236607782478328,Bachelor's degree
19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,47640.0,62620.0,78350.0,97540.0,107470.0,0.0226631184832444,Associate's degree
19-5011,Occupational Health and Safety Specialists,detailed,59760.0,77080.0,102840.0,129490.0,161300.0,0.0292527503833053,Bachelor's degree
19-5012,Occupational Health and Safety Technicians,detailed,44170.0,54920.0,61360.0,83080.0,105950.0,0.0111497579615615,High school diploma or equivalent
21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,51890.0,63910.0,86500.0,119790.0,136660.0,0.0307295546814627,Master's degree
21-1013,Marriage and Family Therapists,detailed,46350.0,49680.0,67300.0,98450.0,130340.0,0.0308212141920467,Master's degree
21-1015,Rehabilitation Counselors,detailed,35940.0,37560.0,44480.0,51420.0,69260.0,0.017053782918273,Master's degree
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,44640.0,47640.0,59250.0,80570.0,111080.0,0.0220488647984169,Master's degree
21-1019,"Counselors, All Other",detailed,39140.0,45480.0,48850.0,61620.0,99760.0,0.0071737801178661,Master's degree
21-1021,"Child, Family, and School Social Workers",detailed,45360.0,52270.0,65200.0,82080.0,103050.0,0.0223497839916289,Bachelor's degree
21-1022,Healthcare Social Workers,detailed,54220.0,67630.0,89660.0,118740.0,134880.0,0.0285986138136631,Master's degree
21-1023,Mental Health and Substance Abuse Social Workers,detailed,46450.0,57800.0,79000.0,118860.0,147300.0,0.0317391852823936,Master's degree
21-1029,"Social Workers, All Other",detailed,36160.0,42350.0,63010.0,102160.0,132480.0,0.0405323969234601,Bachelor's degree
21-1091,Health Education Specialists,detailed,49020.0,54850.0,63610.0,85000.0,113170.0,0.0149271640852048,Bachelor's degree
21-1092,Probation Officers and Correctional Treatment Specialists,detailed,64820.0,80300.0,103640.0,123540.0,140950.0,0.0258436769304371,Bachelor's degree
21-1093,Social and Human Service Assistants,detailed,39040.0,46110.0,51090.0,61450.0,74250.0,0.0103086656438102,High school diploma or equivalent
21-1094,Community Health Workers,detailed,46320.0,50040.0,58050.0,72760.0,88590.0,0.0149589844359099,High school diploma or equivalent
21-1099,"Community and Social Service Specialists, All Other",detailed,38840.0,47550.0,58770.0,74590.0,96030.0,0.0214109677825378,Bachelor's degree
21-2011,Clergy,detailed,42690.0,61310.0,77710.0,97640.0,157030.0,0.0239872739374746,Bachelor's degree
21-2021,"Directors, Religious Activities and Education",detailed,41600.0,45800.0,61570.0,76840.0,118710.0,0.0300311708865688,Bachelor's degree
21-2099,"Religious Workers, All Other",detailed,35880.0,36870.0,45440.0,66940.0,97430.0,0.0211193792704722,Bachelor's degree
23-1011,Lawyers,detailed,97950.0,131120.0,195080.0,277140.0,369180.0,0.0405294598740768,Doctoral or professional degree
23-1012,Judicial Law Clerks,detailed,59620.0,65740.0,79030.0,82200.0,90680.0,0.01858254178332,Doctoral or professional degree
23-1022,"Arbitrators, Mediators, and Conciliators",detailed,56220.0,75170.0,97680.0,121670.0,317680.0,0.0265405516410144,Bachelor's degree
23-2011,Paralegals and Legal Assistants,detailed,50460.0,60170.0,77390.0,98430.0,119580.0,0.025487765729496,Associate's degree
23-2093,"Title Examiners, Abstractors, and Searchers",detailed,51500.0,59190.0,67230.0,90570.0,115040.0,0.0128181539646918,High school diploma or equivalent
23-2099,"Legal Support Workers, All Other",detailed,49350.0,64930.0,85830.0,113790.0,142610.0,0.0282988993781578,Associate's degree
25-1011,"Business Teachers, Postsecondary",detailed,60910.0,80600.0,128470.0,176570.0,250700.0,0.0477234593932909,Doctoral or professional degree
25-1021,"Computer Science Teachers, Postsecondary",detailed,60850.0,93000.0,128210.0,171030.0,225640.0,0.0326279958979236,Doctoral or professional degree
25-1022,"Mathematical Science Teachers, Postsecondary",detailed,77570.0,101600.0,130680.0,169110.0,226560.0,0.0254902645937895,Doctoral or professional degree
25-1031,"Architecture Teachers, Postsecondary",detailed,55400.0,76610.0,103520.0,133960.0,178950.0,0.030561419706558,Doctoral or professional degree
25-1032,"Engineering Teachers, Postsecondary",detailed,80660.0,104920.0,137280.0,189630.0,294260.0,0.0272470407977045,Doctoral or professional degree
25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,61930.0,77530.0,109930.0,136710.0,164800.0,0.0355346714839539,Doctoral or professional degree
25-1042,"Biological Science Teachers, Postsecondary",detailed,75280.0,99550.0,129150.0,177180.0,250700.0,0.0263732262780924,Doctoral or professional degree
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,37700.0,48630.0,61730.0,97430.0,201100.0,0.0241396980598651,Doctoral or professional degree
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,73170.0,99270.0,133230.0,202470.0,260890.0,0.0298604985181467,Doctoral or professional degree
25-1052,"Chemistry Teachers, Postsecondary",detailed,78450.0,102980.0,132960.0,188810.0,278510.0,0.025880587629268,Doctoral or professional degree
25-1053,"Environmental Science Teachers, Postsecondary",detailed,65250.0,78070.0,108290.0,135790.0,168810.0,0.0332619040809687,Doctoral or professional degree
25-1054,"Physics Teachers, Postsecondary",detailed,80060.0,105810.0,139420.0,213730.0,292150.0,0.0279685700807963,Doctoral or professional degree
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,71990.0,99740.0,128370.0,163030.0,213200.0,0.0255560895823112,Doctoral or professional degree
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,67020.0,88110.0,105220.0,148610.0,191720.0,0.0179051452595651,Doctoral or professional degree
25-1063,"Economics Teachers, Postsecondary",detailed,79050.0,100310.0,137360.0,205580.0,266470.0,0.0319332477652725,Doctoral or professional degree
25-1064,"Geography Teachers, Postsecondary",detailed,70410.0,112980.0,146040.0,192800.0,250700.0,0.0259992076620119,Doctoral or professional degree
25-1065,"Political Science Teachers, Postsecondary",detailed,67510.0,100380.0,124890.0,165810.0,212210.0,0.0220874305080993,Doctoral or professional degree
25-1066,"Psychology Teachers, Postsecondary",detailed,68200.0,81600.0,107340.0,165660.0,205930.0,0.0277965208020307,Doctoral or professional degree
25-1067,"Sociology Teachers, Postsecondary",detailed,71710.0,96530.0,127680.0,167290.0,233850.0,0.0283620865470202,Doctoral or professional degree
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,63850.0,82230.0,132920.0,205150.0,219230.0,0.0491944974218436,Doctoral or professional degree
25-1071,"Health Specialties Teachers, Postsecondary",detailed,65510.0,99960.0,165110.0,357220.0,381560.0,0.051464738630313,Doctoral or professional degree
25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,47840.0,62530.0,81960.0,116460.0,164450.0,0.0274278933928682,Doctoral or professional degree
25-1081,"Education Teachers, Postsecondary",detailed,59620.0,79040.0,111850.0,132730.0,159270.0,0.0353302556969994,Doctoral or professional degree
25-1082,"Library Science Teachers, Postsecondary",detailed,72770.0,98980.0,125640.0,155330.0,222470.0,0.024136979295855,Doctoral or professional degree
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,68960.0,82190.0,139720.0,216150.0,259890.0,0.0544936277191252,Doctoral or professional degree
